DATE,DCOILWTICO
2020-11-30,45.2
2020-12-31,47.025
2021-01-31,52.008421052631576
2021-02-28,59.04631578947369
2021-03-31,62.333043478260876
2021-04-30,61.71666666666666
2021-05-31,65.1695
2021-06-30,71.37818181818182
2021-07-31,72.4852380952381
2021-08-31,67.73045454545455
2021-09-30,71.64619047619047
2021-10-31,81.47666666666666
2021-11-30,79.14750000000001
2021-12-31,71.71181818181819
2022-01-31,83.22200000000001
2022-02-28,91.64105263157894
2022-03-31,108.50260869565217
2022-04-30,101.7775
2022-05-31,109.55238095238094
2022-06-30,114.83714285714285
2022-07-31,101.619
2022-08-31,93.66521739130435
2022-09-30,84.25809523809524
2022-10-31,87.5547619047619
2022-11-30,84.37047619047618
2022-12-31,76.43714285714286
2023-01-31,78.123
2023-02-28,76.83263157894737
2023-03-31,73.27782608695652
2023-04-30,79.44631578947369
2023-05-31,71.57818181818182
2023-06-30,70.24809523809525
2023-07-31,76.0695
2023-08-31,81.38608695652174
2023-09-30,89.425
2023-10-31,85.63952380952381
2023-11-30,77.685
2023-12-31,71.9
2024-01-31,74.15238095238095
2024-02-29,77.249
2024-03-31,81.27799999999999
2024-04-30,85.34727272727274
2024-05-31,80.02454545454545
2024-06-30,79.76736842105262
2024-07-31,81.80045454545454
2024-08-31,76.68318181818182
2024-09-30,70.236
2024-10-31,71.985
2024-11-30,69.95
2024-12-31,70.11809523809524
2025-01-31,75.74249999999999
2025-02-28,71.53315789473685
2025-03-31,68.23904761904762
2025-04-30,63.53666666666667
2025-05-31,62.16761904761905
2025-06-30,68.16900000000001
2025-07-31,68.39090909090909
2025-08-31,64.86428571428571
2025-09-30,63.959047619047624
2025-10-31,60.89454545454546
2025-11-30,60.36533333333333
